Time,Seq,Pose.Position.x,Pose.Position.y,Pose.Position.z,Pose.Orientation.x,Pose.Orientation.y,Pose.Orientation.z,Pose.Orientation.w,Roll(deg),Pitch(deg),Yaw(deg)
1285866000000,868,-1.144350957161017,-0.933815053505875,0.0,0.0,0.0,0.6360267800719375,0.7716669845414686,0.0,-0.0,78.99236098543842
1286066000000,869,-1.0065961731759958,-1.0470991072941869,0.0,0.0,0.0,0.7563591492541993,0.6541565847252964,0.0,-0.0,98.28854271797515
1286266000000,870,-0.9392568931848245,-1.0835439410165109,0.0,0.0,0.0,0.8334779885487988,0.5525526604810156,0.0,-0.0,112.91537398879733
1286466000000,871,-0.8316038819134011,-1.1911315537982423,0.0,0.0,0.0,0.9083344593035887,0.41824455769520436,0.0,-0.0,130.55238281352933
1286866000000,872,-0.9008275180830501,-1.0766862241237642,0.0,0.0,0.0,0.9604442743938978,0.2784722531671317,0.0,-0.0,147.6619097027379
1287066000000,873,-0.9764258974344554,-0.9468010599778169,0.0,0.0,0.0,0.973321544425115,0.22944535549430708,0.0,-0.0,153.4711605686815
1287266000000,874,-0.8882812148445784,-1.0117862968896838,0.0,0.0,0.0,0.9960028405037572,0.0893215635132259,0.0,-0.0,169.75084330191848
1287466000000,875,-0.7923459397719319,-1.1656561714732117,0.0,0.0,0.0,-0.9974333994704928,0.07160037444550421,0.0,0.0,-171.78817477092824
1287866000000,876,-1.0138727981397229,-0.8677432778166001,0.0,0.0,0.0,-0.9913223980999304,0.13145304494534626,0.0,0.0,-164.89286741493675
1288066000000,877,-0.8992083743928835,-1.0246386492243187,0.0,0.0,0.0,-0.957211005865787,0.28939089524276373,0.0,0.0,-146.3570133426557
1288466000000,878,-0.789596151454775,-1.0644671187454084,0.0,0.0,0.0,-0.8632397334321,0.5047941784768093,0.0,0.0,-119.36461914765682
1288666000000,879,-0.7811873145070276,-1.0521510643817942,0.0,0.0,0.0,-0.8090723701243219,0.5877090265611141,0.0,0.0,-108.01079646845164
1289066000000,880,-0.72888414649644,-1.0896705445183177,0.0,0.0,0.0,-0.6480586670031401,0.7615904175619026,0.0,0.0,-80.79078619386473
1289266000000,881,-0.6961448934661767,-1.1119461642977795,0.0,0.0,0.0,-0.5555449145468498,0.8314865290076161,0.0,0.0,-67.49651069178248
1289466000000,882,-0.7957798524320744,-1.1100957584603042,0.0,0.0,0.0,-0.4980312337614593,0.8671590916308487,0.0,0.0,-59.73966545835687
1289666000000,883,-0.8237053995446529,-1.1245450582932113,0.0,0.0,0.0,-0.4102613578079464,0.9119679919216355,0.0,0.0,-48.44250789218579
1289866000000,884,-0.7097673510517667,-1.1443531486050738,0.0,0.0,0.0,-0.2848956964344387,0.958558523071563,0.0,0.0,-33.10522792754585
1290066000000,885,-0.7678218767975031,-1.1344798367665345,0.0,0.0,0.0,-0.2088892093938212,0.9779393121246452,0.0,0.0,-24.114530052368362
1290466000000,886,-1.547119251670228,-0.7819546004765501,0.0,0.0,0.0,-0.2613014661232052,0.965257242294438,0.0,0.0,-30.29460111044714
1290666000000,887,-1.5351613963706436,-0.8503754030308905,0.0,0.0,0.0,-0.15006205712784562,0.9886765795802788,0.0,0.0,-17.261045751739672
1290866000000,888,-0.9985247684820543,-1.0107695966042485,0.0,0.0,0.0,0.09844988628709145,0.9951420099111778,0.0,-0.0,11.299830042718959
1291266000000,889,-1.1691292603513546,-0.8269505083711666,0.0,0.0,0.0,0.217668916983548,0.9760226649925755,0.0,-0.0,25.1443081356425
1291666000000,890,-1.1463450160034332,-0.8188560659389115,0.0,0.0,0.0,0.4060317227421739,0.9138589826264347,0.0,-0.0,47.91159273313254
1291866000000,891,-1.1341910190303486,-0.9006137836006072,0.0,0.0,0.0,0.5131057006164009,0.8583254277923685,0.0,-0.0,61.74184246240206
1292066000000,892,-1.0605367803903682,-1.0254510052495265,0.0,0.0,0.0,0.612693509519609,0.7903206079766266,0.0,-0.0,75.56903418857027
1292466000000,893,-1.0473412541929787,-1.2824889669458086,0.0,0.0,0.0,0.7695350900089215,0.6386045296151297,0.0,-0.0,100.62431736146125
1292866000000,894,-0.9376722241323089,-1.3942784632904086,0.0,0.0,0.0,0.879832752011146,0.47528341911799676,0.0,-0.0,123.2443899584401
1293266000000,895,-1.0002397019043092,-1.3405385665338065,0.0,0.0,0.0,0.9326773020073775,0.36071186606520056,0.0,-0.0,137.7121588268176
1293666000000,896,-0.8296957355683573,-1.4122520410833679,0.0,0.0,0.0,0.9865683876634023,0.16334875715240302,0.0,-0.0,161.19735233826594
1293866000000,897,-1.3762203878982129,-1.3985435902839274,0.0,0.0,0.0,0.9792435020069696,0.2026873547538819,0.0,-0.0,156.6116952223091
1294266000000,898,-1.5258383278028984,-1.2293381402826609,0.0,0.0,0.0,0.9932542067031885,0.1159572372317468,0.0,-0.0,166.68231981030505
1294666000000,899,-1.485809081124629,-1.3102142258409317,0.0,0.0,0.0,-0.9991921576324095,0.04018746229721515,0.0,0.0,-175.39361556440414
