Time,Seq,Pose.Position.x,Pose.Position.y,Pose.Position.z,Pose.Orientation.x,Pose.Orientation.y,Pose.Orientation.z,Pose.Orientation.w,Roll(deg),Pitch(deg),Yaw(deg)
285080000000,133,-2.4796021205618066,0.0629174203815823,0.0,0.0,0.0,-0.6375336747365927,0.7704224903109049,0.0,0.0,-79.21631343017684
285480000000,134,-2.4545206104822808,-0.01620331199168979,0.0,0.0,0.0,-0.5433969242395874,0.8394758976450462,0.0,0.0,-65.83036595771993
286080000000,135,-2.389559537542766,-0.1178406377126293,0.0,0.0,0.0,-0.449043508681339,0.8935098921171227,0.0,0.0,-53.36466601201509
287280000000,136,-2.2272891675319006,-0.3292080601235071,0.0,0.0,0.0,-0.4505731291094101,0.8927395226629965,0.0,0.0,-53.56092253171028
288480000000,137,-2.104042009156362,-0.5387921431835232,0.0,0.0,0.0,-0.5522640314328814,0.8336692627088402,0.0,0.0,-67.04494810962497
289280000000,138,-2.0539813959700393,-0.67281186353049,0.0,0.0,0.0,-0.6438548581619936,0.7651476469422088,0.0,0.0,-80.15974174325969
290280000000,139,-2.0447670771890807,-0.8505982716047022,0.0,0.0,0.0,-0.7239185997394176,0.6898853969691783,0.0,0.0,-92.75792453997266
291480000000,140,-2.0645499112402623,-1.0530866389861346,0.0,0.0,0.0,-0.7430077737109476,0.669282786425216,0.0,0.0,-95.97653195101874
291880000000,141,-2.068488589643306,-1.0688583752717105,0.0,0.0,0.0,-0.8578488252543182,0.513902123959209,0.0,0.0,-118.15180075502334
292080000000,142,-2.0654889475161653,-1.0711569106923051,0.0,0.0,0.0,-0.9147491717036773,0.4040222182843863,0.0,0.0,-132.340262379126
292280000000,143,-2.067480608137012,-1.0694732320127531,0.0,0.0,0.0,-0.9650575907673341,0.2620378722672521,0.0,0.0,-149.6179665986295
292480000000,144,-2.037025912304786,-1.061351130526033,0.0,0.0,0.0,-0.9929474257366093,0.11855551325451184,0.0,0.0,-166.3825110441395
292680000000,145,-1.9955688834264034,-1.0580553698521413,0.0,0.0,0.0,0.9987699150780481,0.04958484380320888,0.0,-0.0,174.3156645148745
292880000000,146,-1.9690349750842042,-1.063035102039142,0.0,0.0,0.0,0.9710222610736067,0.23898905518768113,0.0,-0.0,152.34623745485388
293080000000,147,-1.9512725181725337,-1.0797290776319712,0.0,0.0,0.0,0.9059236410644226,0.42344108983491346,0.0,-0.0,129.89594138344026
293280000000,148,-1.9433897763855124,-1.0974628404791669,0.0,0.0,0.0,0.8168291305819826,0.5768796854047492,0.0,-0.0,109.53725146678501
293480000000,149,-1.9393716459395844,-1.1182461242780941,0.0,0.0,0.0,0.7189747972174352,0.6950361436401332,0.0,-0.0,91.93980507899629
293680000000,150,-1.943011506942831,-1.12981364692169,0.0,0.0,0.0,0.6003249067846012,0.799756216789879,0.0,-0.0,73.78634185182382
293880000000,151,-1.9435790628567826,-1.143815965507409,0.0,0.0,0.0,0.47045765572781956,0.8824225712021901,0.0,-0.0,56.128016115949684
294080000000,152,-1.9421904288367633,-1.1396732473810507,0.0,0.0,0.0,0.33236870072711827,0.943149535745508,0.0,-0.0,38.82521839259051
294280000000,153,-1.934448186266797,-1.1365082286275368,0.0,0.0,0.0,0.17407258291565386,0.9847328246164402,0.0,-0.0,20.049385383484648
294480000000,154,-1.9218882763145695,-1.1316460424269716,0.0,0.0,0.0,0.05022316316159716,0.9987380206450757,0.0,-0.0,5.757572749054562
294680000000,155,-1.9005996312457263,-1.1328168695539675,0.0,0.0,0.0,-0.05594528961855859,0.9984338358496749,0.0,0.0,-6.414206874271489
295080000000,156,-1.8497749797651724,-1.145597351741485,0.0,0.0,0.0,-0.18345408557540946,0.9830282795961113,0.0,0.0,-21.142031099836984
295680000000,157,-1.788666361193489,-1.1811476472883442,0.0,0.0,0.0,-0.30442830155458206,0.9525352535274443,0.0,0.0,-35.44754494735535
296480000000,158,-1.7315135041502263,-1.2290518071384604,0.0,0.0,0.0,-0.41496270818903586,0.909838420167241,0.0,0.0,-49.03393612542446
300080000000,159,-1.7279652580589713,-1.2349370019626824,0.0,0.0,0.0,-0.5133087604532939,0.8582040063073015,0.0,0.0,-61.768954078101
302080000000,160,-1.790426601830173,-1.0824242456346573,0.0,0.0,0.0,-0.36422087983647583,0.9313125955827847,0.0,0.0,-42.71928437382329
303880000000,161,-1.768069383128025,-1.1129476785805976,0.0,0.0,0.0,-0.17251154612179329,0.9850074956337481,0.0,0.0,-19.867755753815597
304880000000,162,-1.7678047398806578,-1.12285415344776,0.0,0.0,0.0,-0.2851850012484619,0.9584724905092032,0.0,0.0,-33.1398146287376
305680000000,163,-1.8020967100199845,-1.0912407117702592,0.0,0.0,0.0,-0.4102855107759458,0.9119571259918534,0.0,0.0,-48.44554280434398
306880000000,164,-1.7587459682650488,-1.1493468955614985,0.0,0.0,0.0,-0.5306203961622266,0.8476095770911521,0.0,0.0,-64.09476417029023
307280000000,165,-1.7635901346773426,-1.1297052307397497,0.0,0.0,0.0,-0.6290134302588304,0.7773944330608623,0.0,0.0,-77.95474531859286
307880000000,166,-1.7714535972350114,-1.0857890609739556,0.0,0.0,0.0,-0.7196943566906642,0.6942910289983668,0.0,0.0,-92.05850344767518
308680000000,167,-1.7908208190217112,-1.1902809597078696,0.0,0.0,0.0,-0.8287177377103693,0.5596667858683483,0.0,0.0,-111.93448620442254
309080000000,168,-1.8294629133330684,-1.2446212749394565,0.0,0.0,0.0,-0.9134974399870044,0.4068444753676633,0.0,0.0,-131.98647358478595
309480000000,169,-1.8705439445156162,-1.276101424882821,0.0,0.0,0.0,-0.9562759566942913,0.2924658862985867,0.0,0.0,-145.988714292131
309880000000,170,-1.8801302952082886,-1.2839655454950376,0.0,0.0,0.0,-0.9934649621747407,0.11413750010904004,0.0,0.0,-166.8922402246845
310080000000,171,-1.8724323609372944,-1.2821621727123182,0.0,0.0,0.0,-0.9999738670198158,0.007229472832485846,0.0,0.0,-179.1715562206073
310280000000,172,-1.8775691369073695,-1.2756758404925752,0.0,0.0,0.0,0.9904488547901442,0.13788062244163143,0.0,-0.0,164.14954898971627
310480000000,173,-1.8761370369998558,-1.2811410692740797,0.0,0.0,0.0,0.9524257121119855,0.3047708367084642,0.0,-0.0,144.51124514064165
310680000000,174,-1.8753073442123904,-1.2820506872533743,0.0,0.0,0.0,0.872557335435811,0.4885117157010234,0.0,-0.0,121.51438435305921
310880000000,175,-1.8739799776818196,-1.2869855373628296,0.0,0.0,0.0,0.7627854360727834,0.6466516670629201,0.0,-0.0,99.42074991847853
311080000000,176,-1.8738231289972396,-1.2864093727308803,0.0,0.0,0.0,0.6208988721192312,0.783890675158894,0.0,-0.0,76.76360925940443
